,timestamp,reportingGroup,locationName,value,unit
69,2021-01-03T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
70,2021-01-03T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
71,2021-01-03T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
72,2021-01-04T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
73,2021-01-04T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
74,2021-01-04T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
75,2021-01-04T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
76,2021-01-04T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.06,kWh
77,2021-01-04T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
78,2021-01-04T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
79,2021-01-04T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
80,2021-01-04T08:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
81,2021-01-04T09:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
82,2021-01-04T10:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
83,2021-01-04T11:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
84,2021-01-04T12:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
85,2021-01-04T13:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
86,2021-01-04T14:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
87,2021-01-04T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
88,2021-01-04T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
89,2021-01-04T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
90,2021-01-04T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
91,2021-01-04T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
92,2021-01-04T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
